name,url,auther,publisher,date,price,rate,rates_num,comments
半生缘,https://book.douban.com/subject/1963684/,张爱玲,北京十月文艺出版社,2006-12,28.00元,['8.6'],61178,世钧，我们回不去了
华胥引（全二册）,https://book.douban.com/subject/5916880/,唐七公子,现代出版社,2011-1,39.80元,['8.4'],64418,现实不如梦中的圆满
格林童话全集,https://book.douban.com/subject/1043008/,[德国]格林兄弟,人民文学出版社,1994-11,21.45元,['9.0'],57222,许多隐晦
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李,译林出版社,2012-9,32.00元,['9.2'],54825,有一种东西不能遵循从众原则，那就是——人的良心
你今天真好看,https://book.douban.com/subject/26602392/,[美]莉兹•克里莫,天津人民出版社,2015-8,39.00元,['8.6'],58009,呆萌可爱的动物段子手
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,金庸,生活·读书·新知三联书店,1999-04,47.00元,['9.0'],55157,侠之大者，为国为民
一个人的朝圣,https://book.douban.com/subject/24934182/,[英] 蕾秋·乔伊斯,北京联合出版公司,2013-9-1,32.80,['8.1'],62184,关于爱和信念的旅行
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,安东尼,长江文艺出版社,2008-3,18.00,['8.3'],61557,真正的片段式写作
这些都是你给我的爱,https://book.douban.com/subject/4714734/,文：安东尼,长江文艺出版社,2010-3,24.80元,['8.3'],58465,只言片语的温暖
如何阅读一本书,https://book.douban.com/subject/1013208/,[美] 莫提默·J. 艾德勒,商务印书馆,2004-1,38.00元,['8.4'],56036,读书的方法论
喜宝,https://book.douban.com/subject/2022979/,亦舒,新世界出版社,2007-2,22.00元,['8.0'],59118,爱情才是终极的奢侈品
孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台,生活·读书·新知三联书店,2009-12-1,28.00元,['8.8'],53077,我们现在怎样做母亲
这些人，那些事,https://book.douban.com/subject/6388661/,吴念真,译林出版社,2011-9,28.00元,['8.8'],52613,平淡叙述下的惊心动魄
麦琪的礼物,https://book.douban.com/subject/1051193/,[美] 欧·亨利,上海社会科学院出版社,2003-7,25.00元,['8.6'],51010,日常的奇迹
流浪地球,https://book.douban.com/subject/3266609/,刘慈欣,湖北长江出版集团，长江文艺出版社,2008-11,28.00元,['8.6'],52060,刘慈欣获中国科幻银河奖的中短篇小说集
查令十字街84号,https://book.douban.com/subject/1316648/,[美] 海莲·汉芙,译林出版社,2005-05-01,18.00元,['8.3'],52922,文艺青年的爱情地标
雷雨,https://book.douban.com/subject/1013416/,曹禺,人民文学出版社,1999-05,9.20,['8.6'],50238,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了
西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩,人民文学出版社,2004-8,47.20元,['8.9'],47590,取经之路就在脚下
水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵,人民文学出版社,1997-1,50.60元,['8.6'],49223,风风火火闯九州
菊与刀,https://book.douban.com/subject/1022238/,（美）鲁思・本尼迪克特,商务印书馆,1990-6,16.00,['8.2'],52771,复杂矛盾的日本民族
刀锋,https://book.douban.com/subject/2035162/,[英]毛姆,上海译文出版社,2007-3,18.00元,['9.0'],46538,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
我与地坛,https://book.douban.com/subject/1209899/,史铁生,春风文艺出版社,2002-5,25.00元,['9.0'],45323,这是你的罪孽与福祉
狂人日记,https://book.douban.com/subject/1398395/,鲁迅,京华出版社,2006-3,39.80元,['8.7'],45994,中国现代文学史上第一篇真正的现代白话小说
最好的我们,https://book.douban.com/subject/24754316/,八月长安,湖南文艺出版社,2013-8-5,55,['8.8'],45940,耿耿余淮
富爸爸，穷爸爸,https://book.douban.com/subject/1033778/,（美）罗伯特・T・清崎,世界图书出版公司,2000-09,18.80,['8.3'],49211,人穷穷观念，人富钱生钱
地下铁,https://book.douban.com/subject/1056733/,幾米,辽宁教育出版社,2002-2,32.00元,['8.3'],49158,黑暗世界中的点滴亮光
步步惊心,https://book.douban.com/subject/1812439/,桐华,民族出版社,2006-6,25.00元,['8.1'],50867,现世太苦，不如穿越回去从头来过
球状闪电,https://book.douban.com/subject/1192090/,刘慈欣,四川科学技术出版社,2005-6,22.00元,['8.7'],45836,量子之外，没有真相
尘埃落定,https://book.douban.com/subject/1080309/,阿来,人民文学出版社,1998-3-1,22.0,['8.5'],46469,一个傻子的土司家族传奇
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,[法] 雨果,人民文学出版社,1992-6,66.00元,['8.9'],42873,现实主义与浪漫主义的至高杰作
那些回不去的年少时光,https://book.douban.com/subject/4231381/,桐华,江苏文艺出版社,2010-01,23.80元,['8.4'],45390,所有你曾热爱却正在遗忘的人和事
孤独六讲,https://book.douban.com/subject/4124727/,蒋勋,广西师范大学出版社,2009-10-1,36.00元,['8.1'],48749,作为一种美学的孤独
呼兰河传,https://book.douban.com/subject/1060852/,萧红,百花文艺出版社,2005-01,19.00,['8.9'],43602,萧红的童年往事
飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,2004-6,16.80元,['8.9'],43432,淡泊，超脱
瓦尔登湖,https://book.douban.com/subject/1865089/,[美] 梭罗,上海译文出版社,2006-8,11.00元,['8.4'],46071,另一种生活
月亮忘記了,https://book.douban.com/subject/1358873/,幾米,格林,2000-2-1,NT$ 299,['8.6'],44242,月明星稀的晚上，看不见的，看见了
金锁记,https://book.douban.com/subject/3017857/,张爱玲,哈尔滨出版社,2005-6,13.5元,['8.5'],44261,曹七巧就像希克厉，一个扭曲的英雄
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,金庸,三联书店,1999-04,47.00,['8.6'],43261,不识张郎是张郎
此间的少年,https://book.douban.com/subject/1020459/,江南,华文出版社,2004-1,25.00元,['8.4'],45483,象牙塔里的金庸群侠
夏洛的网,https://book.douban.com/subject/1036274/,[美] E.B.怀特,上海译文出版社,2004-5,17.00元,['8.6'],43362,猪与蜘蛛
我的天才女友,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特,人民文学出版社,2017-1,42.00元,['8.5'],43048,两个女人，50年的友谊和战争
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森,中信出版社,2011-10-24,68.00元,['8.7'],42061,完美主义者的最高形态
人生,https://book.douban.com/subject/3803820/,路遥,北京十月文艺出版社,2009-5,20.00元,['8.4'],42140,如果你是高加林，你要如何选择？
荆棘鸟,https://book.douban.com/subject/1086249/,[澳] 考琳·麦卡洛,译林出版社,1998-7,28.00元,['8.6'],41813,澳洲乱世情
哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛,哈尔滨出版社,2003-6,15.80元,['8.9'],40077,沙漠中寻常的生与死
时间简史,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金,湖南科学技术出版社,2010-4,45.00元,['8.8'],40459,霍金与上帝的战争
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,金庸,广州出版社 花城出版社,2008-3,108.00元,['8.8'],40472,武侠的解构，流氓的狂欢
海贼王,https://book.douban.com/subject/1474773/,尾田荣一郎,浙江人民美术出版社,2007-11,7.50元,['9.5'],36930,热血，梦想，希望
伊豆的舞女,https://book.douban.com/subject/1005521/,[日] 川端康成,广西师范大学出版社,2002-2,23.80元,['8.2'],43399,静美又残酷，无限柔软的川端
红与黑,https://book.douban.com/subject/1007433/,[法] 司汤达,人民文学出版社,2002,20.00元,['8.2'],43061,阴谋与爱情
一個人住第5年,https://book.douban.com/subject/1346815/,高木直子,大田,2004-12-1,NT$220,['8.4'],40983,独居生活之乐
长恨歌,https://book.douban.com/subject/1082349/,王安忆,南海出版公司,2003-8,22.00元,['8.2'],42308,现代上海史诗
东霓,https://book.douban.com/subject/4874131/,笛安,长江文艺出版社,2010-7-1,26.80元,['8.1'],42855,自毁而偏执的东霓
寻路中国,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒,上海译文出版社,2011-1,33.00元,['9.0'],37702,中国在路上，非虚构写作所能达到的高度
陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓,作家出版社,2011-10,35.00元,['8.8'],37860,翻手为苍凉，覆手为繁华
你一定爱读的极简欧洲史,https://book.douban.com/subject/5366248/,约翰·赫斯特（John Hirst）,广西师范大学出版社,2011-11-25,25.00元,['8.2'],40969,欧洲，为什么老是抢第一？
常识,https://book.douban.com/subject/3344676/,梁文道,广西师范大学出版社,2009-1,38.00,['8.1'],41458,献给这个常识稀缺的时代
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆,生活·读书·新知三联书店,2001,12.00元,['9.2'],35721,一部简明的“中国政治制度史”
罗生门,https://book.douban.com/subject/3136271/,[日]芥川龙之介,上海译文出版社,2008-7,12.00元,['8.7'],37957,要么瘦，要么死
自控力,https://book.douban.com/subject/10786473/,[美]  凯利·麦格尼格尔,文化发展出版社(原印刷工业出版社),2012-8,39.80元,['8.2'],39625,在时间的缝隙中穿行，然后相遇
父与子全集,https://book.douban.com/subject/1002898/,[德] 埃·奥·卜劳恩 绘,中国工人出版社,2003-4,20.00元,['9.2'],34330,格里高里清早醒来发现自己变成了甲虫
一千零一夜,https://book.douban.com/subject/1035848/,纳训,人民文学出版社,2003-01,22.0,['8.6'],36660,失恋是一种病，痊愈之后百毒不侵
时间旅行者的妻子,https://book.douban.com/subject/2056749/,[美] 奥德丽·尼芬格,人民文学出版社,2007-4,29.90元,['8.1'],39670,原作名切题
变形记,https://book.douban.com/subject/1213546/,[奥] 卡夫卡,浙江文艺出版社,2003-4,16.00元,['8.4'],37429,一个预言和一个寓言，令人窒息的政治恐怖
项链,https://book.douban.com/subject/1258498/,[法] 莫泊桑,河北教育出版社,2005-2,28.00元,['8.4'],37158,西方世界最持久的人文畅销书
失恋33天,https://book.douban.com/subject/4238754/,鲍鲸鲸,中信出版社,2010-1,25.00元,['8.0'],39870,不悔梦归处 只恨太匆匆
你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,八月长安,新世界出版社,2009-12,39.80元,['8.7'],35600,营销防骗指南
一九八四·动物农场,https://book.douban.com/subject/1082387/,[英] 乔治·奥威尔,上海译文出版社,2003-4,23.00元,['9.3'],33600,窥见美国社会的一扇窗
人性的弱点全集,https://book.douban.com/subject/1056295/,[美] 戴尔·卡耐基,中国发展出版社,2008-1,25.00元,['8.2'],37031,那些年错过的大雨
未来简史,https://book.douban.com/subject/26943161/,[以色列] 尤瓦尔·赫拉利,中信出版集团,2017-2,68.00元,['8.4'],35398,人类面临的新议题
冰与火之歌（卷一）,https://book.douban.com/subject/1336330/,[美] 乔治·R. R. 马丁,重庆出版社,2005-5,68.00元,['9.3'],31513,凛冬将至。无比宏大的世界观
人间词话,https://book.douban.com/subject/1203426/,王国维,上海古籍出版社,1998-12-01,9.80元,['9.0'],32591,定做一个刻着“不过如此”的章，盖在封面上
橙,https://book.douban.com/subject/5327697/,安东尼,长江文艺出版社,2010-10,28.80元,['8.2'],36506,交叉平行蒙太奇
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,[日] 村上春树,上海译文出版社,2002-12,23.00元,['8.6'],34420,两代人的成长与救赎
大地之灯,https://book.douban.com/subject/1963310/,七堇年,长江文艺出版社,2007-1,22.00元,['8.2'],36132,外国人的寻路中国
江城,https://book.douban.com/subject/7060185/,[美] 彼得·海斯勒,上海译文出版社,2012-1,36.00元,['9.0'],32089,恋味癖谋杀案
香水,https://book.douban.com/subject/1292416/,[德] 帕·聚斯金德,上海译文出版社,2005-5,20.00元,['8.5'],34082,治愈
新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特,人民文学出版社,2017-4,59.00元,['9.0'],31911,每一座城市都只在想象中耸立，又在描述中坍圮
长安十二时辰 上,https://book.douban.com/subject/26899537/,马伯庸,湖南文艺出版社,2017-1-1,CNY 79.60,['8.4'],35215,反成功学的成功学
雨季不再来,https://book.douban.com/subject/2136140/,三毛,北京十月文艺出版社,2007-7,28.00元,['8.7'],33196,一句胜过千年
面纱,https://book.douban.com/subject/10560798/,(英)W.萨默塞特·毛姆,重庆,2012-05-01,32.00元,['8.7'],32902,科学与宗教的大乱斗
阿狸·梦之城堡,https://book.douban.com/subject/3554154/,hans,上海锦绣文章出版社,2009-1,36.80元,['9.0'],31853,阿婆代表作之一
看不见的城市,https://book.douban.com/subject/1863930/,[意大利]伊塔洛·卡尔维诺,译林出版社,2006-8,16.00元,['8.8'],31963,噩梦中的一丝温度
把时间当作朋友,https://book.douban.com/subject/3609132/,李笑来,电子工业出版社,2009-6,32.00元,['8.4'],33571,灾星下出生的恋人们
一句顶一万句,https://book.douban.com/subject/3633461/,刘震云,长江文艺出版社,2009-3,29.80,['8.7'],32152,木心留给世界的礼物
天使与魔鬼,https://book.douban.com/subject/1228110/,[美] 丹.布朗,人民文学出版社,2005-2,29.80元,['8.2'],33968,抵不过时间
第一炉香,https://book.douban.com/subject/1082162/,张爱玲,花城出版社,1997-3,11.5,['8.4'],32581,并不是一切都消失在了时间的长河里
尼罗河上的惨案,https://book.douban.com/subject/1818347/,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,22.00元,['8.7'],31469,林语堂的《红楼梦》
哈姆莱特,https://book.douban.com/subject/1006197/,[英] 莎士比亚,人民文学出版社,2001-1,7.00元,['8.5'],30398,知识分子的命运浮沉
万水千山走遍,https://book.douban.com/subject/1036490/,三毛,哈尔滨出版社,2003-08,13.80,['8.8'],28988,你们不会彼此遗忘。只会彼此消失
海子的诗,https://book.douban.com/subject/1011754/,海子,人民文学出版社,1999-04,15.40,['8.9'],28629,活过，爱过，写过
芳华,https://book.douban.com/subject/27010212/,严歌苓,人民文学出版社,2017-4-1,39.00元,['8.1'],31369,这是一个最好的时代，也是一个最坏的时代
往事并不如烟,https://book.douban.com/subject/1059336/,章诒和,人民文学出版社,2004-1,35.00元,['8.6'],29083,别被封面骗了
教父,https://book.douban.com/subject/1092335/,[美]马里奥·普佐,译林出版社,1997-8,23.30元,['9.0'],27436,中国人你为什么不生气？
雾都孤儿,https://book.douban.com/subject/1203251/,[英]狄更斯,上海译文出版社,1991-7,10.10元,['8.1'],30624,乱世的英雄史诗
蔷薇岛屿,https://book.douban.com/subject/1063190/,安妮宝贝,作家出版社,2002-8,18.00元,['8.0'],31536,此处的生活唯有残酷
娱乐至死,https://book.douban.com/subject/1062193/,[美] 尼尔·波兹曼,广西师范大学出版社,2011-6,29.80元,['8.5'],29195,日常生活的无限可能性
新参者,https://book.douban.com/subject/6746289/,[日] 东野圭吾,南海出版公司,2011-9,28.00元,['8.4'],29704,镇上有两个哑巴，他们总是在一起。
我的精神家园,https://book.douban.com/subject/1014578/,王小波,文化艺术出版社,1997,18.80元,['9.1'],26800,一桩占星术连续杀人案件
我执,https://book.douban.com/subject/3642673/,梁文道,广西师范大学出版社,2010-10,35.00元,['8.0'],28757,梁文道的私密日记
子不语1,https://book.douban.com/subject/4188697/,夏达,新世纪出版社,2009-12,RMB36.00,['9.0'],24422,不能说偷，是窃，窃你懂吗
枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,[美] 贾雷德·戴蒙德,上海世纪出版集团,2006-4-1,45.00元,['8.8'],25230,深入村上春树的心灵腹地
白银时代,https://book.douban.com/subject/1082150/,王小波,花城出版社,1997-5,10.00元,['8.4'],26257,嬉笑怒骂的常识分子
红拂夜奔,https://book.douban.com/subject/1418686/,王小波,江苏文艺出版社,2005-1,28.00元,['8.7'],25367,了解IT领域的入门读物
